model_name,module_name,category_name,response_level,function_name,confidence
libra_rcnn,module4,couch,-0.0498,场景分类,0.81
libra_rcnn,module4,laptop,-0.0495,光照适应,0.78


ms_rcnn,module1,person,0.0649,物体检测,0.88
ms_rcnn,module1,car,0.0643,边界框回归,0.85
ms_rcnn,module1,traffic_light,0.0676,物体检测,0.90
ms_rcnn,module1,bird,0.0692,边缘检测,0.83
ms_rcnn,module1,backpack,0.0656,物体检测,0.89
ms_rcnn,module1,sports_ball,0.0679,边界框回归,0.86
ms_rcnn,module1,bottle,0.0665,物体检测,0.87
ms_rcnn,module1,apple,0.0643,纹理识别,0.84
ms_rcnn,module1,couch,0.0678,物体检测,0.88
ms_rcnn,module1,laptop,0.0767,边界框回归,0.85
ms_rcnn,module2,person,-0.0059,关键点检测,0.82
ms_rcnn,module2,car,-0.0033,语义分割,0.80
ms_rcnn,module2,traffic_light,-0.0045,关键点检测,0.84
ms_rcnn,module2,bird,-0.0029,光照适应,0.78
ms_rcnn,module2,backpack,-0.0030,关键点检测,0.83
ms_rcnn,module2,sports_ball,-0.0044,语义分割,0.81
ms_rcnn,module2,bottle,-0.0053,关键点检测,0.82
ms_rcnn,module2,apple,-0.0030,颜色感知,0.79
ms_rcnn,module2,couch,-0.0058,关键点检测,0.83
ms_rcnn,module2,laptop,-0.0042,语义分割,0.80
ms_rcnn,module3,person,-0.1257,关系建模,0.75
ms_rcnn,module3,car,-0.1229,多模态融合,0.72
ms_rcnn,module3,traffic_light,-0.1239,关系建模,0.77
ms_rcnn,module3,bird,-0.1269,场景分类,0.74
ms_rcnn,module3,backpack,-0.1239,关系建模,0.76
ms_rcnn,module3,sports_ball,-0.1245,多模态融合,0.71
ms_rcnn,module3,bottle,-0.1267,关系建模,0.75
ms_rcnn,module3,apple,-0.1253,姿态估计,0.73
ms_rcnn,module3,couch,-0.1272,关系建模,0.76
ms_rcnn,module3,laptop,-0.1272,多模态融合,0.72
ms_rcnn,module4,person,0.0300,场景分类,0.80
ms_rcnn,module4,car,0.0324,光照适应,0.78
ms_rcnn,module4,traffic_light,0.0329,场景分类,0.82
ms_rcnn,module4,bird,0.0307,颜色感知,0.79
ms_rcnn,module4,backpack,0.0312,场景分类,0.81
ms_rcnn,module4,sports_ball,0.0323,光照适应,0.77
ms_rcnn,module4,bottle,0.0289,场景分类,0.80
ms_rcnn,module4,apple,0.0321,姿态估计,0.76
ms_rcnn,module4,couch,0.0294,场景分类,0.81
ms_rcnn,module4,laptop,0.0303,光照适应,0.78


yolof,module1,person,0.0594,物体检测,0.88
yolof,module1,car,0.0531,边界框回归,0.85
yolof,module1,traffic_light,0.0573,物体检测,0.86
yolof,module1,bird,0.0660,边缘检测,0.83
yolof,module1,backpack,0.0593,物体检测,0.87
yolof,module1,sports_ball,0.0655,边界框回归,0.84
yolof,module1,bottle,0.0592,物体检测,0.85
yolof,module1,apple,0.0580,纹理识别,0.82
yolof,module1,couch,0.0607,物体检测,0.86
yolof,module1,laptop,0.0668,边界框回归,0.83
yolof,module2,person,0.0265,关键点检测,0.82
yolof,module2,car,0.0171,语义分割,0.78
yolof,module2,traffic_light,0.0240,关键点检测,0.81
yolof,module2,bird,0.0172,光照适应,0.76
yolof,module2,backpack,0.0164,关键点检测,0.80
yolof,module2,sports_ball,0.0376,语义分割,0.79
yolof,module2,bottle,0.0182,关键点检测,0.79
yolof,module2,apple,0.0183,颜色感知,0.77
yolof,module2,couch,0.0221,关键点检测,0.81
yolof,module2,laptop,0.0249,语义分割,0.80
yolof,module3,person,-0.0743,关系建模,0.75
yolof,module3,car,-0.0692,多模态融合,0.72
yolof,module3,traffic_light,-0.0694,关系建模,0.74
yolof,module3,bird,-0.0754,场景分类,0.71
yolof,module3,backpack,-0.0697,关系建模,0.73
yolof,module3,sports_ball,-0.0705,多模态融合,0.70
yolof,module3,bottle,-0.0710,关系建模,0.72
yolof,module3,apple,-0.0692,姿态估计,0.71
yolof,module3,couch,-0.0729,关系建模,0.74
yolof,module3,laptop,-0.0717,多模态融合,0.71
yolof,module4,person,-0.0005,场景分类,0.68
yolof,module4,car,-0.0003,光照适应,0.72
yolof,module4,traffic_light,-0.0011,场景分类,0.70
yolof,module4,bird,-0.0050,颜色感知,0.71
yolof,module4,backpack,-0.0021,场景分类,0.69
yolof,module4,sports_ball,-0.0027,边缘检测,0.70
yolof,module4,bottle,0.0005,场景分类,0.71
yolof,module4,apple,-0.0011,纹理识别,0.69
yolof,module4,couch,-0.0021,场景分类,0.70
yolof,module4,laptop,-0.0008,光照适应,0.71
